Data;DataExcel;Regiao;Sistema;Classe;TipoConsumidor;Consumo;Consumidores;DataVersao
20250801;01/08/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Cativo;382.857,0;495.690;22/09/2025
20250801;01/08/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;255.341,0;3.634;22/09/2025
20250801;01/08/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Cativo;66.421,0;29.537;22/09/2025
20250801;01/08/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Livre;958.067,8;1.346;22/09/2025
20250801;01/08/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Cativo;297.553,0;64.270;22/09/2025
20250801;01/08/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Livre;62.215,8;722;22/09/2025
20250801;01/08/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.268.927,9;6.575.357;22/09/2025
20250801;01/08/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;164,0;16;22/09/2025
20250801;01/08/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Cativo;373.348,7;502.186;22/09/2025
20250801;01/08/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Livre;56.749,4;332;22/09/2025
20250801;01/08/2025;Nordeste;NORDESTE;Comercial;Cativo;591.040,8;1.297.241;22/09/2025
20250801;01/08/2025;Nordeste;NORDESTE;Comercial;Livre;536.089,5;7.164;22/09/2025
20250801;01/08/2025;Nordeste;NORDESTE;Industrial;Cativo;95.571,0;32.557;22/09/2025
20250801;01/08/2025;Nordeste;NORDESTE;Industrial;Livre;1.787.861,5;2.801;22/09/2025
20250801;01/08/2025;Nordeste;NORDESTE;Outros;Cativo;689.676,6;268.318;22/09/2025
20250801;01/08/2025;Nordeste;NORDESTE;Outros;Livre;232.135,7;1.219;22/09/2025
20250801;01/08/2025;Nordeste;NORDESTE;Residencial;Cativo;2.487.865,6;20.398.484;22/09/2025
20250801;01/08/2025;Nordeste;NORDESTE;Residencial;Livre;79,5;4;22/09/2025
20250801;01/08/2025;Nordeste;NORDESTE;Rural;Cativo;451.099,8;973.054;22/09/2025
20250801;01/08/2025;Nordeste;NORDESTE;Rural;Livre;22.883,2;219;22/09/2025
20250801;01/08/2025;Nordeste;NORTE INTERLIGADO;Comercial;Cativo;62.828,7;61.716;22/09/2025
20250801;01/08/2025;Nordeste;NORTE INTERLIGADO;Comercial;Livre;54.767,5;718;22/09/2025
20250801;01/08/2025;Nordeste;NORTE INTERLIGADO;Industrial;Cativo;9.478,3;2.689;22/09/2025
20250801;01/08/2025;Nordeste;NORTE INTERLIGADO;Industrial;Livre;654.029,3;215;22/09/2025
20250801;01/08/2025;Nordeste;NORTE INTERLIGADO;Outros;Cativo;114.803,2;41.281;22/09/2025
20250801;01/08/2025;Nordeste;NORTE INTERLIGADO;Outros;Livre;2.162,1;64;22/09/2025
20250801;01/08/2025;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;448.359,7;2.606.393;22/09/2025
20250801;01/08/2025;Nordeste;NORTE INTERLIGADO;Residencial;Livre;107,5;4;22/09/2025
20250801;01/08/2025;Nordeste;NORTE INTERLIGADO;Rural;Cativo;30.801,4;117.779;22/09/2025
20250801;01/08/2025;Nordeste;NORTE INTERLIGADO;Rural;Livre;2.755,7;38;22/09/2025
20250801;01/08/2025;Nordeste;SISTEMAS ISOLADOS;Comercial;Cativo;1.257,1;286;22/09/2025
20250801;01/08/2025;Nordeste;SISTEMAS ISOLADOS;Industrial;Cativo;26,3;3;22/09/2025
20250801;01/08/2025;Nordeste;SISTEMAS ISOLADOS;Outros;Cativo;576,7;117;22/09/2025
20250801;01/08/2025;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;1.051,2;824;22/09/2025
20250801;01/08/2025;Nordeste;SISTEMAS ISOLADOS;Rural;Cativo;4,1;6;22/09/2025
20250801;01/08/2025;Norte;NORTE INTERLIGADO;Comercial;Cativo;264.081,0;264.635;22/09/2025
20250801;01/08/2025;Norte;NORTE INTERLIGADO;Comercial;Livre;170.493,4;1.705;22/09/2025
20250801;01/08/2025;Norte;NORTE INTERLIGADO;Industrial;Cativo;39.335,0;7.084;22/09/2025
20250801;01/08/2025;Norte;NORTE INTERLIGADO;Industrial;Livre;1.555.249,0;958;22/09/2025
20250801;01/08/2025;Norte;NORTE INTERLIGADO;Outros;Cativo;222.761,6;43.466;22/09/2025
20250801;01/08/2025;Norte;NORTE INTERLIGADO;Outros;Livre;33.963,4;280;22/09/2025
20250801;01/08/2025;Norte;NORTE INTERLIGADO;Residencial;Cativo;852.798,3;4.170.707;22/09/2025
20250801;01/08/2025;Norte;NORTE INTERLIGADO;Residencial;Livre;3,9;1;22/09/2025
20250801;01/08/2025;Norte;NORTE INTERLIGADO;Rural;Cativo;58.074,6;229.961;22/09/2025
20250801;01/08/2025;Norte;NORTE INTERLIGADO;Rural;Livre;6.186,6;87;22/09/2025
20250801;01/08/2025;Norte;SISTEMAS ISOLADOS;Comercial;Cativo;42.913,4;42.708;22/09/2025
20250801;01/08/2025;Norte;SISTEMAS ISOLADOS;Industrial;Cativo;6.234,4;592;22/09/2025
20250801;01/08/2025;Norte;SISTEMAS ISOLADOS;Industrial;Livre;4.862,3;1;22/09/2025
20250801;01/08/2025;Norte;SISTEMAS ISOLADOS;Outros;Cativo;43.558,2;13.378;22/09/2025
20250801;01/08/2025;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;126.468,0;581.025;22/09/2025
20250801;01/08/2025;Norte;SISTEMAS ISOLADOS;Rural;Cativo;6.808,2;34.356;22/09/2025
20250801;01/08/2025;Norte;SUDESTE / CENTRO - OESTE;Comercial;Cativo;61.359,3;68.154;22/09/2025
20250801;01/08/2025;Norte;SUDESTE / CENTRO - OESTE;Comercial;Livre;28.022,3;385;22/09/2025
20250801;01/08/2025;Norte;SUDESTE / CENTRO - OESTE;Industrial;Cativo;13.227,3;2.648;22/09/2025
20250801;01/08/2025;Norte;SUDESTE / CENTRO - OESTE;Industrial;Livre;40.676,7;130;22/09/2025
20250801;01/08/2025;Norte;SUDESTE / CENTRO - OESTE;Outros;Cativo;53.023,5;9.713;22/09/2025
20250801;01/08/2025;Norte;SUDESTE / CENTRO - OESTE;Outros;Livre;2.476,7;11;22/09/2025
20250801;01/08/2025;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;216.188,7;816.071;22/09/2025
20250801;01/08/2025;Norte;SUDESTE / CENTRO - OESTE;Rural;Cativo;39.452,3;126.115;22/09/2025
20250801;01/08/2025;Norte;SUDESTE / CENTRO - OESTE;Rural;Livre;127,3;8;22/09/2025
20250801;01/08/2025;Sudeste;SUDESTE / CENTRO - OESTE;Comercial;Cativo;2.058.344,1;2.730.809;22/09/2025
20250801;01/08/2025;Sudeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;2.009.649,3;25.056;22/09/2025
20250801;01/08/2025;Sudeste;SUDESTE / CENTRO - OESTE;Industrial;Cativo;383.900,7;128.191;22/09/2025
20250801;01/08/2025;Sudeste;SUDESTE / CENTRO - OESTE;Industrial;Livre;8.163.478,0;13.935;22/09/2025
20250801;01/08/2025;Sudeste;SUDESTE / CENTRO - OESTE;Outros;Cativo;1.213.429,9;304.600;22/09/2025
20250801;01/08/2025;Sudeste;SUDESTE / CENTRO - OESTE;Outros;Livre;647.304,9;1.835;22/09/2025
20250801;01/08/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.211.462,6;36.962.923;22/09/2025
20250801;01/08/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;2.061,4;77;22/09/2025
20250801;01/08/2025;Sudeste;SUDESTE / CENTRO - OESTE;Rural;Cativo;674.724,7;972.634;22/09/2025
20250801;01/08/2025;Sudeste;SUDESTE / CENTRO - OESTE;Rural;Livre;131.052,7;1.012;22/09/2025
20250801;01/08/2025;Sul;SUL;Comercial;Cativo;832.936,8;1.155.421;22/09/2025
20250801;01/08/2025;Sul;SUL;Comercial;Livre;575.717,8;8.349;22/09/2025
20250801;01/08/2025;Sul;SUL;Industrial;Cativo;318.768,8;227.208;22/09/2025
20250801;01/08/2025;Sul;SUL;Industrial;Livre;2.945.968,1;7.696;22/09/2025
20250801;01/08/2025;Sul;SUL;Outros;Cativo;426.523,9;134.262;22/09/2025
20250801;01/08/2025;Sul;SUL;Outros;Livre;129.604,7;1.590;22/09/2025
20250801;01/08/2025;Sul;SUL;Residencial;Cativo;2.335.514,4;11.819.292;22/09/2025
20250801;01/08/2025;Sul;SUL;Residencial;Livre;84,5;12;22/09/2025
20250801;01/08/2025;Sul;SUL;Rural;Cativo;422.550,1;842.041;22/09/2025
20250801;01/08/2025;Sul;SUL;Rural;Livre;291.932,3;556;22/09/2025
20250701;01/07/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Cativo;368.351,7;496.641;22/09/2025
20250701;01/07/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;249.881,1;3.551;22/09/2025
