Data;DataExcel;Regiao;Sistema;Classe;TipoConsumidor;Consumo;Consumidores;DataVersao
20250801;01/08/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.268.927,9;6.575.357;22/09/2025
20250801;01/08/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;164,0;16;22/09/2025
20250801;01/08/2025;Nordeste;NORDESTE;Residencial;Cativo;2.487.865,6;20.398.484;22/09/2025
20250801;01/08/2025;Nordeste;NORDESTE;Residencial;Livre;79,5;4;22/09/2025
20250801;01/08/2025;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;448.359,7;2.606.393;22/09/2025
20250801;01/08/2025;Nordeste;NORTE INTERLIGADO;Residencial;Livre;107,5;4;22/09/2025
20250801;01/08/2025;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;1.051,2;824;22/09/2025
20250801;01/08/2025;Norte;NORTE INTERLIGADO;Residencial;Cativo;852.798,3;4.170.707;22/09/2025
20250801;01/08/2025;Norte;NORTE INTERLIGADO;Residencial;Livre;3,9;1;22/09/2025
20250801;01/08/2025;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;126.468,0;581.025;22/09/2025
20250801;01/08/2025;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;216.188,7;816.071;22/09/2025
20250801;01/08/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.211.462,6;36.962.923;22/09/2025
20250801;01/08/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;2.061,4;77;22/09/2025
20250801;01/08/2025;Sul;SUL;Residencial;Cativo;2.335.514,4;11.819.292;22/09/2025
20250801;01/08/2025;Sul;SUL;Residencial;Livre;84,5;12;22/09/2025
20250701;01/07/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.222.217,9;6.569.958;22/09/2025
20250701;01/07/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;168,0;16;22/09/2025
20250701;01/07/2025;Nordeste;NORDESTE;Residencial;Cativo;2.470.194,0;20.390.206;22/09/2025
20250701;01/07/2025;Nordeste;NORDESTE;Residencial;Livre;78,3;4;22/09/2025
20250701;01/07/2025;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;452.141,3;2.605.426;22/09/2025
20250701;01/07/2025;Nordeste;NORTE INTERLIGADO;Residencial;Livre;116,0;4;22/09/2025
20250701;01/07/2025;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;1.003,5;816;22/09/2025
20250701;01/07/2025;Norte;NORTE INTERLIGADO;Residencial;Cativo;851.558,5;4.159.092;22/09/2025
20250701;01/07/2025;Norte;NORTE INTERLIGADO;Residencial;Livre;4,0;1;22/09/2025
20250701;01/07/2025;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;129.811,1;599.735;22/09/2025
20250701;01/07/2025;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;195.043,9;816.625;22/09/2025
20250701;01/07/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.379.376,9;36.892.181;22/09/2025
20250701;01/07/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;1.893,1;68;22/09/2025
20250701;01/07/2025;Sul;SUL;Residencial;Cativo;2.514.666,9;11.792.681;22/09/2025
20250701;01/07/2025;Sul;SUL;Residencial;Livre;365,4;9;22/09/2025
20250601;01/06/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.266.966,6;6.549.013;22/09/2025
