;Regiao;feature;n;n_outliers
0;Centro-Oeste;Consumo;260;4
1;Centro-Oeste;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);260;0
2;Centro-Oeste;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);260;0
3;Centro-Oeste;PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);260;15
4;Centro-Oeste;TEMPERATURA MEDIA, MENSAL (AUT)(°C);260;0
5;Centro-Oeste;VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);260;0
6;Centro-Oeste;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);259;2
7;Nordeste;Consumo;260;9
8;Nordeste;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);260;0
9;Nordeste;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);260;5
10;Nordeste;PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);260;24
11;Nordeste;TEMPERATURA MEDIA, MENSAL (AUT)(°C);260;0
12;Nordeste;VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);260;3
13;Nordeste;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);259;3
14;Norte;Consumo;260;13
15;Norte;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);260;0
16;Norte;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);260;0
17;Norte;PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);259;40
18;Norte;TEMPERATURA MEDIA, MENSAL (AUT)(°C);260;2
19;Norte;VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);260;8
20;Norte;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);259;10
21;Sudeste;Consumo;260;12
22;Sudeste;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);260;2
23;Sudeste;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);260;4
24;Sudeste;PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);260;12
25;Sudeste;TEMPERATURA MEDIA, MENSAL (AUT)(°C);260;0
26;Sudeste;VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);260;2
27;Sudeste;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);260;3
28;Sul;Consumo;260;2
29;Sul;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);260;0
30;Sul;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);260;1
31;Sul;PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);259;34
32;Sul;TEMPERATURA MEDIA, MENSAL (AUT)(°C);260;0
33;Sul;VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);260;2
34;Sul;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);259;0
