Nome: NIQUELANDIA
Codigo Estacao: A004
Latitude: -14.46944443
Longitude: -48.48583333
Altitude: 663.53
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2018-06-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;null;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;7,1;null;
2004-07-31;null;0;940,9;22,2;8,8;2,5;
2004-08-31;null;0;941;24,7;7,7;2,4;
2004-09-30;null;null;938,4;27,9;8,1;2,6;
2004-10-31;11;null;936,9;26,1;7,5;2;
2004-11-30;3;null;null;null;null;null;
2004-12-31;null;null;null;null;null;null;
2005-01-31;null;null;null;null;null;null;
2005-02-28;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;
2005-04-30;null;null;null;null;null;null;
2005-05-31;null;null;null;null;null;null;
2005-06-30;null;null;null;null;null;null;
2005-07-31;null;null;null;23,5;7,6;null;
2005-08-31;4;31,2;940,2;25,1;7,3;2,3;
2005-09-30;4;64;938,4;27,4;7,9;2,5;
2005-10-31;3;null;936,7;28,2;8,4;2;
2005-11-30;15;null;null;23,3;7,6;null;
2005-12-31;21;434,8;936,1;23,2;8,9;1,8;
2006-01-31;13;127,8;936,8;24,7;8,1;2;
2006-02-28;16;null;936,9;23,9;7,6;1,5;
2006-03-31;25;279,8;937,4;23,6;8,1;1,5;
2006-04-30;11;null;937,3;23,8;6,1;1,6;
2006-05-31;2;null;null;23;6,2;null;
2006-06-30;0;0;941,3;22,2;7,2;2,4;
2006-07-31;0;0;941,4;22,8;7,4;2,2;
2006-08-31;2;1,4;939,6;25,9;7,9;2,4;
2006-09-30;9;76,2;938,8;26,1;7,5;2,4;
2006-10-31;21;176,4;937,2;24,3;6,6;2;
2006-11-30;16;274,6;936,5;24,2;9;1,9;
2006-12-31;5;58,4;937,6;24;8,2;1,7;
2007-01-31;1;,2;937,4;24,3;8,4;1,6;
2007-02-28;23;314,4;937,5;null;9,5;1,8;
2007-03-31;8;47,2;937,9;null;7,9;1,8;
2007-04-30;11;80,4;938,2;24,7;7,2;1,6;
2007-05-31;7;10,2;938,9;24,5;7,7;2;
2007-06-30;1;,2;940,9;null;7,3;2,1;
2007-07-31;0;0;940,2;22,3;7,6;2,3;
2007-08-31;0;0;940,3;24,5;8,8;2,5;
2007-09-30;1;,2;939,2;27,6;9,4;2,6;
2007-10-31;10;124,2;936,5;27,2;8,8;2,3;
2007-11-30;16;312;935,6;24,8;9,3;1,9;
2007-12-31;18;143;936,4;24,2;6,3;1,7;
2008-01-31;20;249,8;936,5;23,8;8,6;1,7;
2008-02-29;22;302,6;937,4;23,2;6,7;1,6;
2008-03-31;20;510,2;937,2;23,1;7,6;1,5;
2008-04-30;20;216,4;936,7;23,5;5,4;1,4;
2008-05-31;1;1;939,1;23,3;5,9;1,6;
2008-06-30;null;null;940,2;22,8;6,1;1,6;
2008-07-31;null;null;null;null;null;null;
2008-08-31;null;null;null;null;null;null;
2008-09-30;3;null;null;26,6;5,9;null;
2008-10-31;6;59,4;937,3;27,6;9,6;2,2;
2008-11-30;19;302,4;936,1;24,2;9,4;1,8;
2008-12-31;24;67,8;936,2;23;6,9;1,8;
2009-01-31;2;,8;937,3;24;10;1,7;
2009-02-28;1;,2;937;24;6,3;1,5;
2009-03-31;2;,6;936,7;24,4;6,3;1,5;
2009-04-30;0;0;938,2;23,5;6;1,7;
2009-05-31;0;0;939,3;23;6;1,7;
2009-06-30;2;19,4;940,5;22,7;6;1,7;
2009-07-31;0;0;940,5;23,6;6,9;1,9;
2009-08-31;5;19;939,7;24,5;7,1;2,3;
2009-09-30;8;57,4;938,6;26,3;7,5;1,9;
2009-10-31;20;301,8;936,5;24,1;6,4;1,7;
2009-11-30;19;138,6;936,4;24,5;6,2;1,7;
2009-12-31;18;244,4;937,2;23,4;9,1;1,7;
2010-01-31;18;194,4;937,5;24,4;7,7;1,6;
2010-02-28;13;73,8;937,2;24,9;8;1,7;
2010-03-31;21;158,6;937,4;24,3;6,2;1,7;
2010-04-30;5;30;938,2;24,8;6,3;1,8;
2010-05-31;2;6;938,4;24,8;6,7;1,6;
2010-06-30;0;0;941,1;23,5;7,3;2,1;
2010-07-31;null;null;null;23,8;6,7;null;
2010-08-31;null;null;null;null;null;null;
2010-09-30;1;4,2;937,8;27,7;7,6;2,4;
2010-10-31;18;95,4;936,5;25,8;9,1;1,8;
2010-11-30;null;null;936;23,2;10,1;1,7;
2010-12-31;null;null;934,8;23,8;7,9;1,7;
2011-01-31;7;null;936,2;23,3;7,4;1,8;
2011-02-28;2;null;937;22,9;6,9;1,5;
2011-03-31;null;null;936,6;23,5;7,6;1,6;
2011-04-30;6;33,6;938;24,5;7;1,7;
2011-05-31;1;9,4;938,8;23,6;6,3;1,8;
2011-06-30;0;0;940;22,9;7;1,8;
2011-07-31;1;,2;940,1;23,3;7,9;2,1;
2011-08-31;0;0;939,4;26,1;7,9;2,5;
2011-09-30;2;1;939,1;27,3;8,6;2,7;
2011-10-31;9;null;null;24,7;6;null;
2011-11-30;8;null;null;null;null;null;
2011-12-31;23;283,4;null;23,5;6,3;1,8;
2012-01-31;19;null;null;22,7;7,7;1,8;
2012-02-29;19;124,6;937,2;23,5;7,4;1,9;
2012-03-31;14;84;937,5;24,3;6,7;1,6;
2012-04-30;6;64,4;937,3;25,2;7,1;1,6;
2012-05-31;4;5,8;939,2;23,8;8,3;2,3;
2012-06-30;1;,4;940,2;24,1;6,4;2;
2012-07-31;0;0;940,3;23,8;8,7;2,2;
