Nome: CRIXAS
Codigo Estacao: A006
Latitude: -14.53333333
Longitude: -49.96666666
Altitude: 389
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2006-09-24
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;null;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;null;null;null;null;null;null;
2005-01-31;null;null;null;null;null;null;
2005-02-28;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;
2005-04-30;null;null;null;null;null;null;
2005-05-31;null;null;null;null;null;null;
2005-06-30;null;null;null;null;null;null;
2005-07-31;null;null;null;24,3;4,5;null;
2005-08-31;2;3,8;970,6;25,7;5,9;1,5;
2005-09-30;4;98,6;968,6;28,4;4,7;1,6;
2005-10-31;6;12,8;967,1;28,8;5,5;1,4;
2005-11-30;16;null;null;25,2;4,7;null;
2005-12-31;23;396,6;966,8;24,4;6,1;1,2;
2006-01-31;16;137,2;967,3;26,1;5,8;1,2;
2006-02-28;13;null;967,7;25,3;7,6;1,1;
2006-03-31;23;287,4;968;25,2;5,6;1;
2006-04-30;1;null;null;null;null;null;
2006-05-31;null;null;null;null;null;null;
2006-06-30;null;null;null;null;null;null;
2006-07-31;null;null;null;null;null;null;
2006-08-31;null;null;null;null;null;null;
2006-09-30;null;null;null;null;null;null;

