Nome: FACULDADE DA TERRA DE BRASILIA
Codigo Estacao: A008
Latitude: -15.907513
Longitude: -48.119977
Altitude: 1144.2
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2013-02-19
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;27;401,2;885,4;21;8,5;3,4;
2004-02-29;23;null;887,6;20,9;11,7;3,2;
2004-03-31;20;268,8;887,6;21,3;9,8;2,9;
2004-04-30;18;150,4;888,6;21,2;8,7;2,8;
2004-05-31;4;26,2;890;20,7;9,3;3,2;
2004-06-30;0;0;892,1;18,8;9,7;3,7;
2004-07-31;1;2;891;18,4;10,6;4;
2004-08-31;null;null;null;21,1;8,4;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;12;156,8;887,4;null;9,5;3,5;
2004-11-30;17;116;886,9;null;9,3;3,5;
2004-12-31;24;284,8;887,1;null;9,1;3;
2005-01-31;24;232,2;886,4;null;8,7;3,3;
2005-02-28;14;515,4;886,7;22,5;9,1;3,1;
2005-03-31;27;602,6;887,9;21,7;8,6;2,5;
2005-04-30;12;109,6;889,1;22,3;8,4;3,1;
2005-05-31;1;15,2;889,7;20,2;11,5;3,7;
2005-06-30;1;2,2;891;19,4;9,7;4;
2005-07-31;0;0;892,1;19,3;9,5;3,9;
2005-08-31;3;45,8;890,8;21,1;9,6;3,8;
2005-09-30;8;61,4;889,3;23,3;12,3;3,9;
2005-10-31;4;81,6;887,7;24,8;11,7;3,1;
2005-11-30;19;99;886,4;21,4;8,6;3,3;
2005-12-31;28;219,6;886,3;20,9;9,3;3;
2006-01-31;18;13,6;887,5;22,2;8,6;3,3;
2006-02-28;20;null;887,1;21,8;9;2,7;
2006-03-31;29;139,8;887,5;21,3;8,3;2,5;
2006-04-30;14;null;887,7;21,3;7,1;2,8;
2006-05-31;null;null;null;20,1;7,5;null;
2006-06-30;1;,2;891,5;18,9;10,5;4,2;
2006-07-31;2;5,4;891,6;19,5;9,1;3,5;
2006-08-31;8;5,6;890,3;22;9,3;3,8;
2006-09-30;12;2,8;889,5;22,2;9,8;3,8;
2006-10-31;20;412,8;887,6;21,3;9,2;2,9;
2006-11-30;22;232,4;886,7;21,5;11,3;3,2;
2006-12-31;20;446,4;887,6;21,4;9,7;3,2;
2007-01-31;28;531;887,7;21,8;8,7;2,7;
2007-02-28;19;282,4;887,4;21,5;9,4;3,7;
2007-03-31;5;143,6;888,5;22,6;9,5;3,5;
2007-04-30;11;105,6;888,9;22,1;8,8;3,1;
2007-05-31;1;5,4;889,6;21;10;3,5;
2007-06-30;1;,2;891,4;20,1;8,6;3,3;
2007-07-31;null;0;890,7;20,8;8,8;3,7;
2007-08-31;null;0;890,9;20,4;12,1;4;
2007-09-30;null;0;890,2;23,3;11,9;4,4;
2007-10-31;7;65,6;887,5;24,1;9,8;3,6;
2007-11-30;12;null;885,9;null;9,3;2,8;
2007-12-31;null;null;null;null;11,4;null;
2008-01-31;21;346,6;886,6;21,2;8,8;3;
2008-02-29;23;378;887,5;21,4;8,7;2,5;
2008-03-31;19;327,6;887,3;21,2;8,5;2,8;
2008-04-30;13;357,2;887;21,7;8,2;2,5;
2008-05-31;2;,4;889,6;20,4;7,9;2,9;
2008-06-30;0;0;890,9;19,9;8,9;3,4;
2008-07-31;0;0;891,8;19,1;8,5;3,6;
2008-08-31;1;,4;889,6;21,7;9,8;3,6;
2008-09-30;6;null;null;null;11,6;null;
2008-10-31;9;33;888,3;24,2;11,3;3,6;
2008-11-30;21;211,2;886,5;21,9;9,2;3;
2008-12-31;26;379,6;886,1;21,1;8,5;3,1;
2009-01-31;21;410,8;887,5;21,9;8,8;2,8;
2009-02-28;17;382,2;887,4;21,9;9,7;2,5;
2009-03-31;15;222,2;887,1;22,3;7,7;2,4;
2009-04-30;16;441,2;888,5;20,9;8,5;2,5;
2009-05-31;14;34,6;889,6;20,3;8,2;3,2;
2009-06-30;4;57,6;890,7;19,5;9,6;3,2;
2009-07-31;0;0;890,8;20,9;9,5;3,5;
2009-08-31;6;78,8;890,2;21;10,4;4,1;
2009-09-30;10;115,8;889,4;22,8;9,4;3;
2009-10-31;24;297,4;886,9;21,8;10,7;2,5;
2009-11-30;17;363,6;886,8;22,3;null;null;
2009-12-31;26;465,2;887,2;21;null;null;
2010-01-31;21;163,4;887,9;22,2;null;null;
2010-02-28;16;88,4;887,8;22,8;null;null;
2010-03-31;17;201;887,6;22,3;7,8;3,3;
2010-04-30;8;34,4;888,8;21,8;8,8;3,5;
2010-05-31;1;1,2;889;21,7;9,3;3,3;
2010-06-30;1;1,2;891,6;19,9;9,4;3,9;
2010-07-31;0;0;891,5;19,9;10,2;4,6;
2010-08-31;0;0;891;21;10,6;4,2;
2010-09-30;1;18,2;888,9;23,8;11,4;4,8;
2010-10-31;19;190,2;887,2;23,3;11;3,2;
2010-11-30;26;344,4;886,2;21,3;9,8;3,2;
2010-12-31;26;583,8;885;21,7;9,9;3,1;
2011-01-31;20;198;886,1;21,7;11,2;3,5;
2011-02-28;20;214,4;887,2;21,5;9,2;2,6;
2011-03-31;20;103,4;886,7;21,4;8,6;3,2;
2011-04-30;8;81,8;888,5;21,7;14,1;3,5;
2011-05-31;5;8,6;889,3;20,5;9,4;3,6;
2011-06-30;3;8,2;890,3;19,8;9,8;3,6;
2011-07-31;0;0;890,5;20,3;11,6;4;
2011-08-31;0;0;890,2;22,7;10,2;4,3;
2011-09-30;2;4,4;890;23,7;12,8;4,7;
2011-10-31;21;262,4;887,1;21,2;9,9;3,6;
2011-11-30;13;385,4;886,8;21,2;9,4;3,8;
2011-12-31;25;472,2;886,7;21,1;9,1;3,5;
2012-01-31;25;466,4;887,5;20,5;10,6;3,4;
2012-02-29;17;203,8;887,7;21,6;10,1;3,3;
2012-03-31;18;208,8;888,2;22,1;8,3;3,1;
2012-04-30;14;299,8;888,2;22,3;9,2;3;
2012-05-31;4;37;890;19,8;10,4;3,9;
2012-06-30;2;9;890,9;20,7;9,2;3,6;
2012-07-31;3;3,6;890,9;20,2;12,7;3,9;
2012-08-31;null;0;892,2;19,7;11,4;4,7;
2012-09-30;4;46,8;890,3;23,8;10,2;3,9;
2012-10-31;12;168;887,6;24,1;10,9;4;
2012-11-30;22;568,2;886,2;21,6;9,4;3,5;
2012-12-31;21;253,4;887;22,7;9,5;2,9;
2013-01-31;25;556,2;887,5;21,4;8,3;3,4;
