Nome: CASTANHAL
Codigo Estacao: A202
Latitude: -1.30083333
Longitude: -47.94805555
Altitude: 47.13
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2025-08-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;20;396,2;1004,7;26;8,5;2,3;
2004-02-29;29;327;1005,8;25;6,4;1,9;
2004-03-31;31;475;1004,9;25,4;6,7;1,9;
2004-04-30;26;419,4;1005;25,9;7,6;1,9;
2004-05-31;24;146,8;1005,8;26,4;6,8;2,2;
2004-06-30;22;182,8;1008;25,8;7,3;2,1;
2004-07-31;22;267,2;1007;25,5;6,5;2,2;
2004-08-31;20;148,6;1007,9;25,9;7,8;2,5;
2004-09-30;16;55,6;1006;26,5;7;2,9;
2004-10-31;13;76;1004,8;26,7;6,9;2,9;
2004-11-30;3;7,2;1004,1;27,3;6,7;3;
2004-12-31;13;54,4;1004,3;27;6,9;2,5;
2005-01-31;20;292,8;1003,9;26,6;6,9;2,2;
2005-02-28;21;null;1004;26;7,9;2;
2005-03-31;27;299,6;1005,5;25,8;7,2;1,9;
2005-04-30;28;311,4;1005,2;25,7;7,9;1,8;
2005-05-31;26;null;1005,4;25,9;5,9;1,8;
2005-06-30;18;142,8;1006,3;26,3;6,2;2,1;
2005-07-31;16;127;1007,7;26,4;5,6;2,2;
2005-08-31;12;66,2;1006,7;26,8;8,4;2,7;
2005-09-30;6;null;1006,2;27,1;6,7;3,2;
2005-10-31;9;60;1005,1;27,3;7,3;3,1;
2005-11-30;3;null;1003,4;27,8;6,5;3,1;
2005-12-31;9;null;null;null;7,8;null;
2006-01-31;7;null;null;null;8,9;null;
2006-02-28;2;null;null;null;6,7;null;
2006-03-31;27;363,4;1005,3;25,6;7,1;1,9;
2006-04-30;22;null;1004,4;25,5;6,3;1,4;
2006-05-31;13;null;null;25,4;4,8;null;
2006-06-30;15;127,2;1007;26,1;6,2;1,8;
2006-07-31;17;120,6;1007,5;26,3;5,6;2,1;
2006-08-31;11;144;1006,7;26,6;6,6;2,4;
2006-09-30;12;34,6;1006,4;27,1;6,8;2,8;
2006-10-31;7;77,4;1004,6;27,5;7,4;2,9;
2006-11-30;14;136,8;1003,9;26,9;6,2;2,4;
2006-12-31;13;139,2;1005;26,7;6,8;2,3;
2007-01-31;20;209,8;1004,7;26,8;6,9;2,2;
2007-02-28;27;288,4;1005,9;25,2;6,1;1,8;
2007-03-31;29;400,8;1005,1;25,3;6,2;1,6;
2007-04-30;27;369;1005,7;25,5;8,5;1,6;
2007-05-31;27;317,6;1005,6;26;7;1,7;
2007-06-30;22;127,2;1006,9;26,1;8,1;2;
2007-07-31;20;127,6;1007,1;26,2;6,6;2,1;
2007-08-31;15;81;1006,3;26,5;8,5;2,8;
2007-09-30;13;39;1006,6;26,8;6,7;2,9;
2007-10-31;11;66,2;1004,7;26,8;6,7;2,6;
2007-11-30;9;41,4;1003,6;27,2;7,6;2,7;
2007-12-31;22;280,8;1004;26;6,8;1,9;
2008-01-31;12;null;null;25,3;8;null;
2008-02-29;null;null;null;null;null;null;
2008-03-31;4;null;null;null;null;null;
2008-04-30;29;462,8;1004,6;25;7,4;1,2;
2008-05-31;26;235;1005,7;25,5;5,8;1,6;
2008-06-30;3;null;null;null;null;null;
2008-07-31;15;null;1007,3;26,2;8,1;1,9;
2008-08-31;12;97,4;1005,6;26,6;5,7;2;
2008-09-30;10;8,2;1006,1;26,8;6,3;2,2;
2008-10-31;4;null;1005,2;27,1;6,6;2,3;
2008-11-30;null;null;null;null;6,1;null;
2008-12-31;null;null;null;null;6,8;null;
2009-01-31;null;null;null;null;5,5;null;
2009-02-28;null;null;null;null;5,4;null;
2009-03-31;5;null;null;null;5,4;null;
2009-04-30;5;null;null;null;6,1;null;
2009-05-31;8;null;null;null;4,6;null;
2009-06-30;18;null;1007,1;25,7;8,6;1,6;
2009-07-31;21;153,4;1007,2;26,3;5,8;2;
2009-08-31;11;70,8;1006,5;27;6,3;2,3;
2009-09-30;9;35;1006,6;27,3;6,5;2,6;
2009-10-31;4;null;1004,9;null;5,7;2,4;
2009-11-30;null;null;null;null;6,9;null;
2009-12-31;null;null;null;null;7,2;null;
2010-01-31;null;null;null;null;6,6;null;
2010-02-28;null;null;null;null;8,1;null;
2010-03-31;5;null;1004,9;null;5,6;2;
2010-04-30;3;null;null;null;6,1;null;
2010-05-31;10;null;1005,2;27,1;6,1;1,5;
2010-06-30;19;187,6;1007;26,6;7,2;1,5;
2010-07-31;23;93,8;1006,7;26,7;7;1,9;
2010-08-31;15;116;1006,7;26,9;6;2;
2010-09-30;10;33,8;1005,3;27,2;6,4;2,4;
2010-10-31;null;null;null;null;7,7;null;
2010-11-30;null;null;null;null;6,4;null;
2010-12-31;null;null;null;null;5,2;null;
2011-01-31;null;null;null;null;10,6;null;
2011-02-28;null;null;null;null;5,1;null;
2011-03-31;null;null;null;null;null;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;18;112,6;1007;26,2;6,4;1,8;
2011-07-31;26;84,8;1006,9;26,1;6,4;1,7;
2011-08-31;20;35;1007,2;26,6;6,4;2,1;
2011-09-30;2;2,2;1007;27;5,2;2,3;
2011-10-31;null;null;1004,4;27,3;6,4;2,3;
2011-11-30;6;18,6;1004,3;27,2;6,1;2,2;
2011-12-31;8;53,8;1004,5;27,3;5,5;2,3;
2012-01-31;13;69,2;1005,1;26,3;7,7;1,9;
2012-02-29;13;null;null;25,6;7,9;null;
2012-03-31;31;392,2;1005,9;25,3;5,6;1,4;
2012-04-30;28;246,2;1005,5;26;7,1;1,5;
2012-05-31;28;76,4;1006,4;26,2;5,8;1,8;
2012-06-30;29;49;1007,7;26;5,6;1,6;
2012-07-31;null;null;1007,2;26,3;9,1;1,8;
2012-08-31;null;null;1007,8;26,6;5,8;2,2;
2012-09-30;12;42,6;1007,7;26,9;5,7;2,3;
2012-10-31;9;26,6;1005,2;27,1;6,4;2,2;
2012-11-30;3;2,4;1004,5;27,7;5,6;2,2;
2012-12-31;null;null;1004,3;26,8;5,9;1,7;
2013-01-31;null;null;1005,6;26,4;5,8;1,5;
2013-02-28;null;null;1004,7;25,9;6,8;1,4;
2013-03-31;7;84,8;1005,6;26,1;5,6;1,4;
2013-04-30;1;49,4;1006,2;25,8;5,8;1,2;
2013-05-31;28;208,6;1006,6;26;6,1;1,3;
2013-06-30;23;116,6;1007,1;26,5;6,7;1,6;
2013-07-31;24;252,2;1008;26;5,2;1,5;
2013-08-31;22;125,6;1006,7;26,5;5,4;1,7;
2013-09-30;15;63,8;1006,5;26,8;6,6;2;
2013-10-31;15;34;1005,9;27,2;6,5;2,3;
2013-11-30;14;168,8;1004,2;26,8;6,4;2;
2013-12-31;16;95,2;1004,9;27;8,2;2;
2014-01-31;22;201,6;1005,9;25,9;6,4;1,6;
2014-02-28;28;314,6;1005,1;25,3;5,7;1,5;
2014-03-31;28;215,2;1006;25,5;5,7;1,3;
2014-04-30;4;,8;1006,3;25,7;6;1,1;
2014-05-31;null;null;1006,5;25,8;7,1;1,2;
2014-06-30;20;173,4;1007;26,4;5,7;1,6;
2014-07-31;23;140,8;1008,9;26,3;5,3;1,9;
2014-08-31;17;96,2;1007,8;26,6;6,3;1,9;
2014-09-30;13;55,4;1007,1;26,9;6;2,2;
2014-10-31;9;45;1006;27,1;6;2,2;
2014-11-30;2;1,6;1005;27,7;7,2;2,4;
2014-12-31;5;null;1005;27,7;6,1;2,5;
2015-01-31;11;null;null;null;5,9;null;
2015-02-28;11;null;null;null;5,2;null;
2015-03-31;8;null;null;null;6,9;null;
2015-04-30;2;null;null;null;6;null;
2015-05-31;3;null;null;null;4,9;null;
2015-06-30;19;95,2;1008,1;26,2;9,9;1,7;
2015-07-31;3;null;null;null;null;null;
2015-08-31;2;null;null;null;null;null;
2015-09-30;3;21,8;1006,8;27,5;6,6;2,4;
2015-10-31;null;null;1006,2;28,2;5,9;2,9;
2015-11-30;1;null;null;null;6;null;
2015-12-31;1;null;null;null;6,2;null;
2016-01-31;17;129;1005,9;27,2;6,6;2;
2016-02-29;28;302,8;1006;26,1;8,5;1,3;
2016-03-31;null;null;1006,8;26,2;6,1;1,2;
2016-04-30;25;179;1005,6;26,8;5,5;1,1;
2016-05-31;18;156;1007,3;27,1;6,2;,6;
2016-06-30;18;152,8;1008,5;26,7;6,8;1,3;
2016-07-31;21;143,4;1007,9;26,6;6,1;1;
2016-08-31;11;98,8;1007,6;27,1;5,4;2;
2016-09-30;9;42,6;1007,3;27;5,5;1,7;
2016-10-31;0;0;1005,2;27,5;5,1;2;
2016-11-30;3;1,2;1004,3;28,1;5,6;2;
2016-12-31;27;225;1004,9;26,5;7,5;1,5;
2017-01-31;28;135,4;1005,8;25,8;7,5;,7;
2017-02-28;22;205;1005,8;25,6;5,8;1,1;
2017-03-31;29;254,2;1006,1;25,3;5;,6;
2017-04-30;29;415,8;1006;25,7;7;,8;
2017-05-31;26;173,2;1006,5;26,5;5,1;,7;
2017-06-30;22;129,4;1007;26,9;4,5;,1;
2017-07-31;11;73,2;1008,8;27,2;4,3;,4;
2017-08-31;11;29,8;1007,2;27,3;4,6;1,7;
2017-09-30;10;27,8;1006,7;27,7;6,1;2,2;
2017-10-31;8;25,4;1005,2;27,5;5,1;2;
2017-11-30;3;8;1004,4;27,9;4,6;2;
2017-12-31;11;74,2;1004,8;27;6,5;,8;
2018-01-31;16;192,8;1005,5;25,7;4,1;,1;
2018-02-28;23;192,6;1005,8;25,4;4;,1;
2018-03-31;29;331,8;1005,7;26;4,2;,2;
2018-04-30;28;166,2;1006,7;25,4;3,7;,1;
2018-05-31;26;256,6;1007,2;25,5;4,4;,1;
2018-06-30;20;108,8;1008;26,7;4,9;,1;
2018-07-31;18;187;1007,9;26,6;3,4;0;
2018-08-31;20;null;1008,3;26,4;5,3;,1;
2018-09-30;14;122,8;1005,9;27;5,7;,2;
2018-10-31;10;83,2;1005,4;27,5;4;,2;
2018-11-30;7;205;1004,5;27,8;5,2;,3;
2018-12-31;29;419;1006,5;25,4;5,3;,1;
2019-01-31;23;219,6;1006,8;25,9;5,3;,1;
