Nome: FLORESTA DO ARAGUAIA
Codigo Estacao: A208
Latitude: -7.56176
Longitude: -49.69884
Altitude: 188.09
Situacao: Desativada
Data Inicial: 2008-04-10
Data Final: 2009-05-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;8;null;null;25,6;5,7;null;
2008-05-31;13;209;990,2;25,3;5;1,1;
2008-06-30;1;1;991,3;25,4;5,2;1,1;
2008-07-31;null;null;null;null;5,6;null;
2008-08-31;null;null;989,3;28,3;6,3;1,6;
2008-09-30;5;31,6;989,5;28,2;10,2;1,7;
2008-10-31;11;145,4;988,9;27,4;7,6;1,7;
2008-11-30;21;127,2;988,1;26,1;8,4;1,2;
2008-12-31;25;330,6;988,4;25,5;7,2;1,4;
2009-01-31;19;181,8;989,3;26,1;7,7;1,3;
2009-02-28;11;null;null;null;4,7;null;
2009-03-31;null;null;null;null;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;null;null;null;null;null;null;

