Nome: AREMBEPE
Codigo Estacao: A403
Latitude: -12.762552
Longitude: -38.16906
Altitude: 4.87
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2013-10-12
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;21;498;1012,1;26,3;14;5,6;
2004-02-29;16;64,8;1013,5;27;11;5,4;
2004-03-31;13;44;1013,3;27,2;13,9;5,7;
2004-04-30;20;147,2;1014,3;26,9;14;5,7;
2004-05-31;21;59,6;1015,9;26,4;11,1;5,5;
2004-06-30;19;118,6;1019,1;25,6;12,9;6,6;
2004-07-31;21;168;1018,6;24,5;14,5;7,2;
2004-08-31;19;108,6;1019,8;24;14;6,2;
2004-09-30;16;26,6;1018,5;24,8;12,6;6,9;
2004-10-31;14;20,6;1015,4;25,7;11,7;6,8;
2004-11-30;13;72,4;1014,1;26,1;12,9;7;
2004-12-31;3;2,4;1013,6;26,7;11,1;6,9;
2005-01-31;9;92,6;1012,5;26,8;12,8;6,2;
2005-02-28;10;null;1012,5;27,1;14,7;5,8;
2005-03-31;14;167,6;1013,4;27,4;9,6;4,9;
2005-04-30;25;268,6;1014,5;26,7;13,6;5;
2005-05-31;22;null;1015,8;26,6;13,9;7,4;
2005-06-30;21;119,2;1017,4;25,3;14,5;6,9;
2005-07-31;11;null;null;24,6;13;null;
2005-08-31;14;null;1019,1;24,8;12,7;7,1;
2005-09-30;8;null;1017,7;25,3;null;null;
2005-10-31;3;null;1015,9;25,9;11,4;,3;
2005-11-30;13;159;1013,8;26;0;0;
2005-12-31;13;69;1012,9;26,6;0;0;
2006-01-31;12;10,8;1014;27,4;0;null;
2006-02-28;5;null;1012,7;28,1;null;null;
2006-03-31;10;39;1012,9;28;null;null;
2006-04-30;18;null;1012,9;27,6;null;null;
2006-05-31;10;null;null;26,8;null;null;
2006-06-30;24;292,6;1018,8;25,3;null;null;
2006-07-31;18;52;1019,8;25,2;null;null;
2006-08-31;22;24,2;1019;25,6;null;null;
2006-09-30;1;null;null;null;null;null;
2006-10-31;1;null;null;null;null;null;
2006-11-30;13;93,8;1013,6;26,7;null;null;
2006-12-31;3;9,8;1014,5;27,4;null;null;
2007-01-31;8;22,6;1014,1;27,7;null;null;
2007-02-28;16;91,6;1013,8;27,3;null;null;
2007-03-31;10;null;null;null;null;null;
2007-04-30;null;null;null;null;null;null;
2007-05-31;null;null;null;null;null;null;
2007-06-30;null;null;null;null;null;null;
2007-07-31;9;null;null;null;null;null;
2007-08-31;14;null;1020;24,8;null;null;
2007-09-30;17;38,4;1020,1;24,5;13,5;7,7;
2007-10-31;11;46,4;1016,8;25,1;13,4;7,1;
2007-11-30;7;7,6;1014,2;25,7;12,4;7,1;
2007-12-31;7;64;1013,9;25,9;12,6;6,7;
2008-01-31;9;12,4;1013,7;26,4;12,6;6,5;
2008-02-29;8;106,2;1013,9;26,7;11,9;5,7;
2008-03-31;16;null;1013,1;27;11,8;5,5;
2008-04-30;10;null;1013,2;27;12,1;5;
2008-05-31;20;109,2;1016;26,4;13,7;6,3;
2008-06-30;24;59;1018,4;25,4;13,6;6,7;
2008-07-31;21;48,6;1020,4;24,5;13,6;7,7;
2008-08-31;15;39,2;1018,7;24,3;13,7;6,8;
2008-09-30;11;21,4;1018,7;24,8;12,6;6,6;
2008-10-31;8;22;1017,6;25,5;12,8;7,2;
2008-11-30;5;18,2;1014,4;25,8;12,3;6,7;
2008-12-31;17;112;1013,6;26;11,3;5,4;
2009-01-31;13;48,2;1014,4;26,6;12;5,8;
2009-02-28;10;44,2;1013,9;27;12,5;6;
2009-03-31;6;19,6;1012,9;27,3;null;null;
2009-04-30;18;163;1014,6;26,8;null;null;
2009-05-31;25;342,4;1016,2;25,9;null;null;
2009-06-30;19;93,8;1018,3;26,3;13,4;null;
2009-07-31;18;46,2;1019,3;25,9;13,5;6,1;
2009-08-31;20;27,2;1019,2;25,7;12,8;null;
2009-09-30;10;null;null;null;null;null;
2009-10-31;9;null;1014,1;26,7;null;null;
2009-11-30;8;12,8;1014,7;27;null;null;
2009-12-31;2;4,8;1014,6;27,6;null;null;
2010-01-31;16;62,8;1015;27,8;null;null;
2010-02-28;12;19,4;1014,6;28,6;null;null;
2010-03-31;14;93,4;1013,9;28,3;null;null;
2010-04-30;26;476,4;1014,9;27,7;null;null;
2010-05-31;18;157,8;1015,8;27,5;null;null;
2010-06-30;8;null;null;26,4;null;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;22;55,8;1020,7;25,9;14,1;7;
2010-09-30;20;42,2;1019,2;26,5;null;null;
2010-10-31;9;79,2;1015,7;28,2;null;null;
2010-11-30;2;,6;1014;29,1;null;null;
2010-12-31;7;27,8;1012,3;29,2;null;null;
2011-01-31;14;101,6;1013,5;29,5;null;null;
2011-02-28;10;17,8;1014,1;30,2;null;null;
2011-03-31;14;267,2;1013,1;29,3;null;null;
2011-04-30;22;286,8;1014,9;28,7;null;null;
2011-05-31;25;140;1016,7;27,2;null;null;
2011-06-30;18;76;1018,6;26,4;null;null;
2011-07-31;17;31,4;1019,7;26,2;null;null;
2011-08-31;14;34,2;1020;26,3;null;null;
2011-09-30;13;16;1020,9;26,6;null;null;
2011-10-31;15;133,2;1015,7;27,4;null;null;
2011-11-30;null;null;1015,6;27,5;null;null;
2011-12-31;7;60,2;1014,8;27,3;12,2;null;
2012-01-31;12;29;1015,5;26,5;11,3;5,9;
2012-02-29;11;null;null;26,6;13,5;null;
2012-03-31;14;66,8;1015,8;26,8;10,8;5,9;
2012-04-30;12;33,2;1015,8;26,8;10,2;5,2;
2012-05-31;16;null;1017,6;26;12,9;6,1;
2012-06-30;4;null;null;null;null;null;
2012-07-31;17;68,8;1016,7;24,5;12,6;5,9;
2012-08-31;24;44,2;1018,5;24,2;13,8;7,6;
2012-09-30;11;12,2;1017,2;24,5;14,2;6,4;
2012-10-31;12;36,2;1014,3;25;12,1;6,7;
2012-11-30;8;61,6;1011,1;25,3;10,6;5,2;
2012-12-31;7;4;1011,4;26,2;9,9;5,9;
2013-01-31;14;15,2;1012;26,4;10,7;5,6;
2013-02-28;10;42,2;1012;27,1;12;6,3;
2013-03-31;13;63,4;1012;27,2;10,7;5,7;
2013-04-30;16;150,2;1012,5;26,8;14,3;6,4;
2013-05-31;18;95,6;1013,8;26,1;13,4;5,4;
2013-06-30;22;170,6;1015,1;25,4;11,7;4,8;
2013-07-31;23;97,4;1016,7;25,1;14,9;6;
2013-08-31;19;126,2;1016,4;24,6;13;6,2;
2013-09-30;15;39,4;1015,9;25,1;13,4;6,4;
2013-10-31;4;null;null;null;null;null;

