Nome: PAULO AFONSO
Codigo Estacao: A411
Latitude: -9.37805554
Longitude: -38.22666666
Altitude: 255.04
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2017-03-12
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;3;null;null;27,9;9,2;null;
2004-04-30;2;,8;983,4;27,5;8,9;4,4;
2004-05-31;13;130,2;985,1;25,8;8,7;3,8;
2004-06-30;14;55,2;988;23,6;9,1;3,9;
2004-07-31;13;22,2;987,3;23,2;8,4;4;
2004-08-31;12;41,8;988,3;23,4;8,9;4,2;
2004-09-30;6;8,4;986,7;24,8;10,8;5,2;
2004-10-31;0;0;983,9;27,2;9,3;4,9;
2004-11-30;2;4;982,8;27,8;10;4,7;
2004-12-31;2;4,8;982,4;28,3;9,3;4,4;
2005-01-31;4;null;null;28,6;9,3;null;
2005-02-28;6;null;981,8;28,2;9,7;3,8;
2005-03-31;11;282,4;982,7;28;9,1;3,4;
2005-04-30;10;116;983,7;26,3;10,7;3,5;
2005-05-31;20;null;985;24,2;8,3;3,4;
2005-06-30;21;54,2;986,5;23,4;8,3;3,4;
2005-07-31;3;null;null;null;7,6;null;
2005-08-31;10;null;null;null;7,6;null;
2005-09-30;1;null;null;null;9,2;null;
2005-10-31;null;null;null;null;null;null;
2005-11-30;null;null;null;null;null;null;
2005-12-31;3;null;null;27,2;9,4;null;
2006-01-31;1;,2;982,6;27,6;9,1;5;
2006-02-28;3;null;981,6;28,9;8,7;3,5;
2006-03-31;10;66,4;982,2;28,1;8,6;2,9;
2006-04-30;10;null;982,1;27,2;12,9;3,3;
2006-05-31;8;null;null;24,8;7,6;null;
2006-06-30;22;142;987,2;22,8;9,1;3,5;
2006-07-31;24;120,2;988,2;22,1;8,9;3,4;
2006-08-31;12;24,4;987,5;23,1;8,2;3,9;
2006-09-30;9;48;986,6;24,5;8,5;4;
2006-10-31;3;34,6;983,7;26,7;9,1;4,2;
2006-11-30;2;9,8;982,2;27,7;10,5;3,9;
2006-12-31;1;null;982,9;28,6;9;4,2;
2007-01-31;2;2;982,6;28,9;8,9;4,2;
2007-02-28;2;17,6;983;27,4;10,5;3,4;
2007-03-31;0;0;983,5;25,8;8;3,6;
2007-04-30;2;1,4;983,8;26,5;10;3,7;
2007-05-31;1;,6;985;24,7;7;3,4;
2007-06-30;21;70,6;987,3;23,4;8,2;3,6;
2007-07-31;15;38,2;987,6;23,1;8,6;3,6;
2007-08-31;22;58,4;987,8;22,7;9,7;4,4;
2007-09-30;14;23,6;987,9;23,9;8,6;4,7;
2007-10-31;1;,8;984,6;26;9,1;5;
2007-11-30;0;0;982,3;27,7;10,1;4,6;
2007-12-31;2;null;982,1;27,6;10,6;4,3;
2008-01-31;0;0;981,9;27,9;9;4,3;
2008-02-29;4;57,8;982,7;27,8;9,9;3,6;
2008-03-31;12;103,8;982,1;26,8;9,7;3;
2008-04-30;10;61,8;982;26,6;7,2;2,9;
2008-05-31;19;69,8;984,6;24,7;8,3;3,3;
2008-06-30;18;39,2;986,6;23,1;9,2;3,5;
2008-07-31;19;102,2;988,2;22,2;7,7;3,7;
2008-08-31;18;41;986,4;23,4;8,2;4;
2008-09-30;6;11,8;986,4;25,2;9,3;4,6;
2008-10-31;3;3;985,1;26,6;9,8;5,2;
2008-11-30;null;null;982,2;28,2;9;4,5;
2008-12-31;null;null;null;null;null;null;
2009-01-31;null;null;null;null;null;null;
2009-02-28;null;null;null;null;null;null;
2009-03-31;1;null;null;null;null;null;
2009-04-30;14;178,6;982,9;27;8,5;2,9;
2009-05-31;17;null;null;24,9;6,7;null;
2009-06-30;10;null;null;null;7;null;
2009-07-31;22;46,6;987,2;23,1;7,5;3,4;
2009-08-31;23;64,4;987;23,1;8,9;3,8;
2009-09-30;5;2,4;986,3;25,5;8,2;4,3;
2009-10-31;4;84,8;982,7;27,3;8,6;3,6;
2009-11-30;1;5,4;982,5;27,8;9,2;4,3;
2009-12-31;4;41;982,7;28;10,4;4;
2010-01-31;3;34,4;983;27,7;11,9;4;
2010-02-28;8;43,8;982,7;28,2;9,8;4,4;
2010-03-31;9;67,6;982,4;28,3;8,8;3,4;
2010-04-30;13;159,4;983,2;26,7;8,5;3,5;
2010-05-31;7;64,4;984;25,8;7,3;3,4;
2010-06-30;2;,4;987,1;23,7;8,7;3,5;
2010-07-31;0;0;987,5;22,8;9,7;3,8;
2010-08-31;0;0;988,1;22,8;9,2;4,2;
2010-09-30;1;1;986,4;24;9,4;4,8;
2010-10-31;4;14,4;983,5;27;8,5;4,3;
2010-11-30;0;0;981,7;28,2;10,4;4,5;
2010-12-31;5;19,2;980,5;28;10,3;3,8;
2011-01-31;12;37,8;981,3;27,6;10,3;4;
2011-02-28;1;30,4;982;27,7;9;3,9;
2011-03-31;null;null;981,6;27,8;8,4;3;
2011-04-30;2;null;982,8;26,5;9;3,8;
2011-05-31;18;63;984,5;24,3;8;3,6;
2011-06-30;12;28,2;986,2;24;7,4;3,7;
2011-07-31;19;57,2;987;22,7;9,4;4;
2011-08-31;10;32,4;987,2;23,8;8,1;4,2;
2011-09-30;10;34,6;987,7;24;8,8;4,8;
2011-10-31;4;45,8;983;26,6;9,1;4,4;
2011-11-30;4;7,2;982,9;26,8;9,3;4,5;
2011-12-31;0;0;982,3;28,4;9,3;4,3;
2012-01-31;1;,2;982,9;28;10,3;4,8;
2012-02-29;2;67,8;982,8;27,2;9,1;4,8;
2012-03-31;3;1,4;983,3;27,7;9,1;4,7;
2012-04-30;3;4;983,4;27,4;9;4,5;
2012-05-31;8;22,2;985,2;26;9,1;4,3;
