Nome: CONTAGEM
Codigo Estacao: A501
Latitude: -19.95
Longitude: -44.08333333
Altitude: 980
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2008-06-24
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;19;366,4;904,7;21,9;6,9;2,9;
2004-02-29;9;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;12;84,4;907,4;21,1;5,6;2,4;
2004-05-31;9;null;909;19,7;5,7;2,2;
2004-06-30;4;null;911,7;18;5,2;2,4;
2004-07-31;4;39,2;910,9;17;6,1;2,7;
2004-08-31;null;0;911;19,7;6,1;2,6;
2004-09-30;null;null;908,9;22,3;6,8;3,6;
2004-10-31;7;null;906,3;22,3;6,5;2,9;
2004-11-30;11;null;905,3;22,9;6,5;3;
2004-12-31;18;null;905,3;21,7;6,3;2,3;
2005-01-31;15;null;null;22,5;6,2;null;
2005-02-28;12;null;null;22,3;5,7;null;
2005-03-31;21;161;906,6;22,2;6,4;2,4;
2005-04-30;7;null;null;22;5,2;null;
2005-05-31;13;null;908,8;20;6;2,4;
2005-06-30;1;null;null;null;6,2;null;
2005-07-31;1;null;null;18,1;5,9;null;
2005-08-31;2;null;910,4;20,7;6,4;3,1;
2005-09-30;7;102,6;909,1;20,6;6,5;3,2;
2005-10-31;4;null;906,9;24,1;8;3,2;
2005-11-30;14;null;905,4;20;5,7;2,8;
2005-12-31;18;null;905,2;21;6,2;2,4;
2006-01-31;8;167;906,6;23,2;7,3;2,9;
2006-02-28;9;null;905,1;24;6;2,3;
2006-03-31;20;212,2;905,8;22;6,3;2,1;
2006-04-30;5;null;null;21,8;4,7;null;
2006-05-31;2;null;null;19,2;4,9;null;
2006-06-30;2;5,2;911,3;17,7;6,4;2,7;
2006-07-31;1;2,4;911,2;18,8;5,6;2,3;
2006-08-31;4;18,8;909,7;20,3;7,2;2,8;
2006-09-30;10;108,6;908,7;20,3;6,6;3;
2006-10-31;16;142,6;906,3;21,2;6,4;2,8;
2006-11-30;21;230;905,2;21,1;5,5;2,5;
2006-12-31;24;216,6;906,1;21,8;5,5;2,4;
2007-01-31;26;356,2;905,7;22;5,1;1,9;
2007-02-28;13;129,2;906,2;22,3;6,2;2,9;
2007-03-31;6;63,2;907,5;23,8;5,3;2,9;
2007-04-30;11;61,8;908;22,2;6,2;2,5;
2007-05-31;2;13;908,6;19,7;5,8;2,1;
2007-06-30;1;,2;910,7;19,3;6;2,1;
2007-07-31;2;5,4;910,1;19,1;5,8;2,5;
2007-08-31;0;0;911,2;19,7;6,2;3,2;
2007-09-30;2;2,2;910,5;21,2;8,1;3,6;
2007-10-31;8;93,8;906,8;23,2;6,6;3,2;
2007-11-30;9;null;904,4;22,8;6,1;2,5;
2007-12-31;16;298,6;905;22,9;5,9;2,4;
2008-01-31;20;326,4;905,2;21,7;6;2,4;
2008-02-29;14;174,2;905,7;22,8;7,7;2,3;
2008-03-31;18;217,2;905,8;22,2;5,9;2,2;
2008-04-30;11;95;905,4;22,4;6,4;1,8;
2008-05-31;null;0;908,4;19,8;5,5;1,8;
2008-06-30;1;null;909,6;19,9;5,1;2,1;

