Nome: CARANGOLA
Codigo Estacao: A503
Latitude: -20.74166666
Longitude: -42.01749999
Altitude: 399
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2010-09-21
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;22;198,4;966,5;25,6;5;,8;
2004-02-29;21;207,8;967,7;25,7;3,7;,6;
2004-03-31;12;null;null;24,7;4,4;null;
2004-04-30;18;161,8;969,5;24,8;11,6;,4;
2004-05-31;8;18,4;970,9;23,6;0;0;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;13;null;null;26,2;11,8;null;
2005-01-31;17;269;966;26,9;14;,4;
2005-02-28;18;null;966,7;26;0;0;
2005-03-31;12;null;968,2;26,2;15;1,2;
2005-04-30;11;111,8;969,9;25,7;0;0;
2005-05-31;12;63,2;971,7;23,3;0;0;
2005-06-30;15;38,4;973,8;21,7;0;0;
2005-07-31;11;38;975,4;20,8;2,8;,5;
2005-08-31;6;4,4;973,4;23,2;2,5;,4;
2005-09-30;10;102,6;972,1;23,7;0;0;
2005-10-31;5;22,4;968,9;26,9;0;0;
2005-11-30;17;null;968,1;24;0;0;
2005-12-31;27;173,2;967,1;25,2;0;0;
2006-01-31;11;54;968;27,6;0;0;
2006-02-28;8;null;965,9;28,8;0;0;
2006-03-31;26;172,8;967,2;26,5;4,2;,2;
2006-04-30;12;null;968,4;24,3;3,1;,2;
2006-05-31;6;null;null;21,7;3,1;null;
2006-06-30;5;10,4;974,8;20,6;3,4;,7;
2006-07-31;4;1,2;974;21,1;3,3;,7;
2006-08-31;6;18,4;972,5;22,8;3,8;,8;
2006-09-30;11;94,6;971,9;20,1;3,7;,9;
2006-10-31;16;130;968,8;21,4;3,1;,6;
2006-11-30;20;261,6;967,3;22,2;4,6;,6;
2006-12-31;22;287,4;968;22,8;3,1;,6;
2007-01-31;29;341,6;966,8;23,5;3;,2;
2007-02-28;16;226,2;968;23,2;4,3;,1;
2007-03-31;6;51,6;969;24,2;0;0;
2007-04-30;20;145,4;970,1;22,1;0;0;
2007-05-31;14;17;971,4;18,8;0;0;
2007-06-30;8;4,4;973,3;18,6;0;0;
2007-07-31;6;7,4;973;18,7;2,5;,1;
2007-08-31;3;2,8;974,4;19,4;3,5;,6;
2007-09-30;6;10,4;973,8;21,1;1,6;0;
2007-10-31;10;76,4;969,3;23,2;0;0;
2007-11-30;16;null;966,9;22,8;0;0;
2007-12-31;30;120,8;966,4;24;0;0;
2008-01-31;19;230,4;967;22,7;0;0;
2008-02-29;19;188,8;967,1;23,4;0;0;
2008-03-31;18;117,4;967,4;22,8;0;0;
2008-04-30;12;109;967;22,5;3;,1;
2008-05-31;7;50,2;971;19;3,7;,4;
2008-06-30;8;10,8;973,3;18,2;2,9;,5;
2008-07-31;5;13,6;974,9;17,3;2,5;,4;
2008-08-31;5;26,8;971,9;19,9;3,6;,6;
2008-09-30;11;86,4;971,6;20,1;3,1;,7;
2008-10-31;10;36,6;970,5;22,5;5,5;,8;
2008-11-30;26;197,6;967,9;21,4;3,5;,3;
2008-12-31;8;null;null;null;null;null;
2009-01-31;null;null;null;null;null;null;
2009-02-28;null;null;null;null;null;null;
2009-03-31;null;null;null;null;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;
2009-07-31;1;null;null;null;null;null;
2009-08-31;5;70,6;973,7;20,6;4;,8;
2009-09-30;7;106,2;971,1;23,7;3,7;,9;
2009-10-31;18;207,4;968,2;23,2;4,5;,7;
2009-11-30;14;127;966,9;25,8;5,2;,8;
2009-12-31;20;279,8;967;25,1;4,1;,8;
2010-01-31;8;53,4;968,5;26,8;5,5;,8;
2010-02-28;11;82,4;968,9;26,5;4,8;,7;
2010-03-31;25;282,2;967,9;25;3,6;,7;
2010-04-30;17;91,2;970,8;22,7;3,6;,6;
2010-05-31;15;63,6;970,9;20,8;3,4;,5;
2010-06-30;10;11;975,2;18,3;3;,5;
2010-07-31;8;24,8;975,9;19,8;3,4;,6;
2010-08-31;5;11;974,9;19,5;4,1;,8;
2010-09-30;1;null;null;21,9;4,1;null;

