Nome: ALFENAS
Codigo Estacao: A504
Latitude: -21.45
Longitude: -45.95
Altitude: 875
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2004-11-17
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;7;null;null;null;5,5;null;
2004-05-31;14;null;919;17,5;7;1,9;
2004-06-30;8;null;921,8;16,3;8,1;1,8;
2004-07-31;8;34,4;920,9;15,6;7,8;2,5;
2004-08-31;2;,8;920,9;18,4;7,9;2,2;
2004-09-30;null;null;918,2;22,7;8,9;2,6;
2004-10-31;11;null;916,2;20,3;9,9;2,6;
2004-11-30;6;null;null;null;9,4;null;

