Nome: CAMBUCI
Codigo Estacao: A604
Latitude: -21.58749999
Longitude: -41.95833333
Altitude: 46
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2025-08-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;null;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;10;null;null;25,6;null;null;
2005-01-31;18;234;1004,4;26,1;null;null;
2005-02-28;14;142,8;1005,2;25,3;null;null;
2005-03-31;14;221,6;1006,7;26;null;null;
2005-04-30;6;46;1008,6;25,1;null;null;
2005-05-31;13;53,2;1010,7;22,2;null;null;
2005-06-30;17;78,6;1013,2;20,2;null;null;
2005-07-31;18;37;1014,9;19;null;null;
2005-08-31;5;3,2;1012,6;21,8;null;null;
2005-09-30;8;null;1011,5;22,4;null;null;
2005-10-31;3;null;1007,7;25,7;null;null;
2005-11-30;9;null;1006,4;null;null;null;
2005-12-31;13;199,8;1005,7;24,7;null;null;
2006-01-31;8;81,2;1006,6;27,1;null;null;
2006-02-28;9;null;1004,2;27,7;null;null;
2006-03-31;14;91,8;1005,6;26,1;null;null;
2006-04-30;9;null;1007;23,8;null;null;
2006-05-31;6;null;null;20;null;null;
2006-06-30;6;15,6;1014,3;19,4;null;null;
2006-07-31;11;28,2;1013,3;18,6;null;null;
2006-08-31;8;31,6;1011,7;21,2;null;null;
2006-09-30;12;104,6;1011,1;21,5;null;null;
2006-10-31;11;68,6;1007,9;23,6;null;null;
2006-11-30;16;342,6;1006,1;24,3;null;null;
2006-12-31;17;219,4;1006,7;25,3;null;null;
2007-01-31;25;594,4;1005,2;25,4;null;null;
2007-02-28;7;99,6;1006,6;26;null;null;
2007-03-31;6;19,8;1007,5;27,1;null;null;
2007-04-30;10;68,6;1008,8;24,9;null;null;
2007-05-31;11;25,8;1010,5;20,7;null;null;
2007-06-30;16;8;1012,4;19,6;null;null;
2007-07-31;7;null;1011,7;20,2;null;null;
2007-08-31;3;1,6;1014;21,5;null;null;
2007-09-30;8;22,4;1013,2;23;null;null;
2007-10-31;8;53,6;1008,4;24,7;null;null;
2007-11-30;17;65,8;1005,9;25,1;null;null;
2007-12-31;14;220,6;1004,9;26,2;null;null;
2008-01-31;18;221,6;1005,6;25,1;null;null;
2008-02-29;17;153;1005,5;25,9;null;null;
2008-03-31;14;112;1005,8;25,5;null;null;
2008-04-30;17;56,6;1005,5;24,5;null;null;
2008-05-31;14;59,8;1010,1;20,6;null;null;
2008-06-30;null;null;null;null;null;null;
2008-07-31;null;null;null;null;null;null;
2008-08-31;3;null;null;null;null;null;
2008-09-30;7;56,2;1010,9;21,8;5,3;1,4;
2008-10-31;10;57,6;1009,5;24,4;6;1,7;
2008-11-30;20;348,4;1006,9;23,7;5,6;1,5;
2008-12-31;20;423;1005;24,1;5,6;1,4;
2009-01-31;19;354,2;1005,7;25,7;8,2;1,2;
2009-02-28;13;97,6;1005,8;26,7;6,8;,6;
2009-03-31;5;null;null;null;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;
2009-07-31;2;null;null;null;null;null;
2009-08-31;8;26,6;1012,4;20,8;null;null;
2009-09-30;8;59,4;1009,3;24;null;null;
2009-10-31;16;275,8;1006,4;24,4;null;null;
2009-11-30;14;163,6;1004,4;26,6;null;null;
2009-12-31;20;359,8;1004,6;25,7;null;null;
2010-01-31;11;110,6;1006;28;null;null;
2010-02-28;4;50,8;1006,4;28,7;null;null;
2010-03-31;12;154;1005,6;27;null;null;
2010-04-30;13;111,2;1009,2;23,7;5,2;,8;
2010-05-31;9;null;1009,5;21,2;3,4;,6;
2010-06-30;11;6,4;1014,2;18,2;4,2;,7;
2010-07-31;13;null;1015;20,7;4,2;1;
2010-08-31;8;14,6;1013,7;19,9;5,2;1;
2010-09-30;8;24,8;1011,3;23;5,7;1,5;
2010-10-31;9;null;1007,1;24,4;7,1;1,7;
2010-11-30;19;325;1005,4;24,1;6,4;1,2;
2010-12-31;19;460,2;1002,4;26,4;6,2;1,1;
2011-01-31;9;153;1004,6;26,9;5,4;1,3;
2011-02-28;8;155;1005,9;27,9;5,4;1,6;
2011-03-31;18;444,2;1005,9;24,9;4,1;,8;
2011-04-30;13;124,4;1008,9;24,4;3,8;,8;
2011-05-31;19;56,4;1011,1;20;3,9;,5;
2011-06-30;12;28;1011,9;19,2;3,8;,6;
2011-07-31;13;null;1013,1;19,1;4,4;,8;
2011-08-31;8;null;1011,5;21,3;6,6;1,1;
2011-09-30;4;null;null;null;5,8;null;
2011-10-31;12;268,2;1006,3;23,7;5,5;1,5;
2011-11-30;14;185,8;1007,6;23;5,2;1,5;
2011-12-31;17;253,6;1005,1;24,6;5;1,2;
2012-01-31;13;434,4;1005,7;25,1;5,7;1,2;
2012-02-29;6;43,8;1006,1;26,5;5;1,3;
2012-03-31;11;104,8;1005,9;25,7;4,8;1;
2012-04-30;9;30;1006,4;24,6;4,2;,9;
2012-05-31;16;null;1009,9;20,9;4,1;,7;
2012-06-30;13;null;1009,4;20,6;3,2;,5;
2012-07-31;2;null;1010;19,8;4,4;,7;
2012-08-31;19;93,8;1016,6;20,9;5;1,4;
2012-09-30;4;43,2;1012;22,4;5,2;1,4;
2012-10-31;3;19,6;1008,1;25,5;6,6;1,8;
