Nome: NITEROI
Codigo Estacao: A605
Latitude: -22.90643
Longitude: -43.133437
Altitude: 10.58
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2009-07-16
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;2;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;null;null;null;null;null;null;
2005-01-31;null;null;null;null;null;null;
2005-02-28;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;
2005-04-30;null;null;null;null;null;null;
2005-05-31;null;null;null;null;null;null;
2005-06-30;null;null;null;null;null;null;
2005-07-31;null;null;null;null;null;null;
2005-08-31;null;null;null;null;null;null;
2005-09-30;null;null;null;null;null;null;
2005-10-31;5;null;null;24,3;14,3;null;
2005-11-30;4;null;null;null;7,5;null;
2005-12-31;5;null;null;24,3;9;null;
2006-01-31;1;null;null;null;null;null;
2006-02-28;null;null;null;null;null;null;
2006-03-31;null;null;null;null;null;null;
2006-04-30;null;null;null;null;null;null;
2006-05-31;null;null;null;null;null;null;
2006-06-30;3;null;null;null;7,5;null;
2006-07-31;null;null;null;null;6,6;null;
2006-08-31;null;null;null;null;null;null;
2006-09-30;null;null;null;null;null;null;
2006-10-31;1;null;null;null;null;null;
2006-11-30;19;125,8;1012,1;23,4;7,2;2,1;
2006-12-31;9;108;1012,1;25;12,3;2,1;
2007-01-31;19;102,6;1010,4;24,8;7,4;1,5;
2007-02-28;4;92,6;1011,6;26,1;6,7;1,9;
2007-03-31;5;20,2;1012,7;26,1;6,5;1,8;
2007-04-30;4;null;1014,8;25,3;11,3;1,8;
2007-05-31;15;107;1016,5;22;10,7;1,8;
2007-06-30;13;39;1017,7;21,5;9,1;1,6;
2007-07-31;9;68,6;1018,1;20,9;10,7;1,9;
2007-08-31;7;14;1019,6;21,1;10,1;1,8;
2007-09-30;4;13,2;1018,8;22,1;7,7;2,1;
2007-10-31;9;168,8;1014,2;22,2;9,7;2,2;
2007-11-30;11;null;1011,2;23,6;9,7;2,2;
2007-12-31;11;178;1010,6;25,2;9;2,1;
2008-01-31;18;149,6;1011,3;24,7;12,2;1,8;
2008-02-29;17;132,2;1011,4;24,4;7,4;1,6;
2008-03-31;15;180,6;1011,8;24;8,3;1,8;
2008-04-30;15;130;1011,6;23,6;9,2;1,6;
2008-05-31;9;102,8;1016,2;21,7;9;1,7;
2008-06-30;10;68,2;1018,2;20,8;9,6;1,4;
2008-07-31;8;58,4;1020;20,3;8,4;1,5;
2008-08-31;19;31,4;1016,6;22;8,9;1,9;
2008-09-30;18;65,6;1017,3;19,5;8;2;
2008-10-31;11;62;1015,5;20,8;8,3;2,2;
2008-11-30;22;183,2;1013,3;20,7;8,8;2;
2008-12-31;16;151,2;1010,8;21,5;7,1;1,8;
2009-01-31;21;206,8;1011,2;23,5;9;1,8;
2009-02-28;8;74,2;1011,1;25,2;8,7;1,8;
2009-03-31;11;89,4;1011,2;24,7;6,8;1,7;
2009-04-30;13;85,8;1014,7;22,7;6,4;1,5;
2009-05-31;10;31,4;1015,7;22,3;7,6;1,5;
2009-06-30;7;75,8;1017,9;20,2;7,5;1,9;
2009-07-31;5;null;null;20,7;8,7;null;

