Nome: JACAREPAGUA
Codigo Estacao: A654
Latitude: -22.986979
Longitude: -43.370102
Altitude: 3.91
Situacao: Desativada
Data Inicial: 2007-05-16
Data Final: 2013-06-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;5;null;null;21,4;8,7;null;
2007-06-30;8;34;1017,9;22;9,3;1,9;
2007-07-31;9;110,8;1018,4;21;9,8;2,3;
2007-08-31;9;19,8;1019,9;21,5;9,1;2,2;
2007-09-30;5;17,6;1019,1;22,6;9,8;2,2;
2007-10-31;8;120,8;1014,6;23,2;8,9;2,2;
2007-11-30;10;null;1011,6;24,4;8,7;2,3;
2007-12-31;11;206,2;1010,9;25,9;7,6;2,1;
2008-01-31;15;143;1011,7;25,5;6,4;2;
2008-02-29;16;102,8;1011,7;25,8;9,4;1,8;
2008-03-31;9;205;1012,1;25,4;8;1,9;
2008-04-30;15;103;1012;24,6;7,8;1,9;
2008-05-31;9;87;1016,5;21,9;8;1,8;
2008-06-30;10;52,6;1018,5;21,4;8,6;1,8;
2008-07-31;6;4,6;1020,3;20,7;8,1;1,8;
2008-08-31;11;79,6;1017;22,4;9;2,2;
2008-09-30;16;88,6;1017,7;21,2;9,2;2,2;
2008-10-31;11;62,4;1015,9;23,2;8,2;2,2;
2008-11-30;20;162,8;1013,6;23,3;7,2;2,2;
2008-12-31;15;109,8;1011,2;24;9;2,1;
2009-01-31;20;180;1011,5;26,3;7,6;2,2;
2009-02-28;9;96,4;1011,4;27,2;7,9;2;
2009-03-31;11;113,2;1011,5;26,5;7,7;1,9;
2009-04-30;15;116,6;1015;24;7,1;1,7;
2009-05-31;12;83,8;1016;23,2;7,6;1,7;
2009-06-30;12;77,2;1018,3;20,7;8;2;
2009-07-31;15;82,2;1018,1;21,1;10;2,1;
2009-08-31;13;51,6;1018,3;21,8;10,9;2,1;
2009-09-30;10;93,6;1015,5;23,4;8,9;2,1;
2009-10-31;15;171,4;1013,2;23,3;11,2;2,3;
2009-11-30;7;108,8;1009,8;27,7;7;2,2;
2009-12-31;17;355,8;1010,5;26,1;7,5;2,1;
2010-01-31;10;122;1011,3;28,4;10,4;2,1;
2010-02-28;7;124,4;1011,8;29;7,1;2;
2010-03-31;17;325,4;1011,6;26,4;9,1;1,9;
2010-04-30;14;287,2;1015,3;24,6;9,5;2;
2010-05-31;11;63,2;1015,4;22,8;8,1;1,9;
2010-06-30;12;79,4;1020,1;20,5;7,3;1,6;
2010-07-31;9;151,6;1020,4;21,9;7,5;1,7;
2010-08-31;10;42,2;1019,9;21,1;10,8;2,1;
2010-09-30;11;74,4;1016,8;22,4;8,4;2;
2010-10-31;11;null;1015,3;22,1;10,1;2,4;
2010-11-30;null;null;null;null;null;null;
2010-12-31;13;235,2;1008,2;26,5;6,7;2,1;
2011-01-31;12;109,8;1009,1;27,8;6,3;1,8;
2011-02-28;3;27,4;1011;28,2;6,7;1,9;
2011-03-31;16;119,8;1012,4;25,1;6,8;1,6;
2011-04-30;10;143,2;1014,5;25,4;6,7;1,6;
2011-05-31;15;135,6;1017,3;21,8;9,1;1,7;
2011-06-30;9;36,2;1017,9;20,4;9,4;1,8;
2011-07-31;10;44,8;1018,5;20,7;8;1,8;
2011-08-31;7;44,6;1017,4;21,9;10,3;2,3;
2011-09-30;8;36,8;1019,8;21;10,2;2,3;
2011-10-31;12;116,4;1013,8;22,7;8;2,2;
2011-11-30;12;107,6;1013,9;22,6;8,5;2;
2011-12-31;22;196;1010,9;24,9;8,3;2,1;
2012-01-31;14;162;1012,1;25,2;7,1;2;
2012-02-29;null;null;null;null;null;null;
2012-03-31;null;null;null;null;null;null;
2012-04-30;8;null;null;24,5;7,8;null;
2012-05-31;12;154,2;1018,2;22;7,5;1,6;
2012-06-30;14;125,2;1017,7;22,4;7,9;1,8;
2012-07-31;9;58;1018,4;21,7;10,6;2;
2012-08-31;5;17,2;1022,4;22;8,6;1,9;
2012-09-30;6;95,6;1018,1;22,3;10,4;2,3;
2012-10-31;7;57,6;1013,8;24,3;9,4;2,3;
2012-11-30;18;88;1012,6;23,3;8,2;2,1;
2012-12-31;9;40,6;1010,1;27,9;9,7;2,2;
2013-01-31;14;null;1012,4;26;8,2;2,3;
2013-02-28;null;null;1011,9;27,7;7,4;2;
2013-03-31;6;null;1013,5;26;12,3;2;
2013-04-30;8;77,2;1015,8;23,8;7,1;1,7;
2013-05-31;11;122,2;1016,5;22,7;10,5;1,8;
2013-06-30;4;null;null;null;null;null;

