Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: A804
Latitude: -30.75055555
Longitude: -55.40138888
Altitude: 196
Situacao: Pane
Data Inicial: 2004-01-01
Data Final: 2025-08-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;4;34,8;973,3;23,6;8;3;
2004-02-29;5;71,4;975,9;21,9;7;2,9;
2004-03-31;6;58,2;976,3;21,3;7,3;2,8;
2004-04-30;11;169,4;976;19,7;11,4;2,9;
2004-05-31;16;77;980,8;12,5;10;3,2;
2004-06-30;16;null;979,9;12,7;8,5;3;
2004-07-31;10;64,8;980,8;10,9;10;3,5;
2004-08-31;10;17,2;980,6;13,4;10,7;3,1;
2004-09-30;10;67,2;977,9;15,9;11,4;4,3;
2004-10-31;7;122;976;16,6;8,4;3,2;
2004-11-30;10;161;974,5;18,6;9,5;3;
2004-12-31;8;88,4;974,4;21,9;9,7;3,3;
2005-01-31;6;null;971,7;25,3;10,1;3,2;
2005-02-28;7;26,2;975,3;23,2;9,1;3,3;
2005-03-31;9;76,6;975,8;21,4;9,8;3,6;
2005-04-30;5;null;null;null;14,6;null;
2005-05-31;5;null;null;15,5;9;null;
2005-06-30;9;null;null;null;8,8;null;
2005-07-31;16;52;981,3;11,5;9,7;3,3;
2005-08-31;10;null;978,9;13,4;12,2;4,4;
2005-09-30;12;null;980,5;12,5;11,6;3,3;
2005-10-31;10;null;976,6;15,7;11;4,1;
2005-11-30;10;75,4;974,8;20,5;11;3,5;
2005-12-31;9;81,2;974,1;21,1;10,8;3,6;
2006-01-31;10;102,4;974,1;24;11;3,6;
2006-02-28;6;null;973,2;23,7;7,9;3,1;
2006-03-31;7;94,8;974,6;22,1;8,7;3,3;
2006-04-30;8;null;976,2;18,3;7,9;2,9;
2006-05-31;7;null;null;12,8;6,5;null;
2006-06-30;17;176;979,5;12,6;10,6;3,6;
2006-07-31;15;90,8;978,4;14,2;10,2;3,6;
2006-08-31;14;80;978;11,9;9,5;3,3;
2006-09-30;14;104,2;978,4;13,1;11,3;3,6;
2006-10-31;8;154;975,7;18,4;10,4;3,7;
2006-11-30;6;226;975,6;19;10,1;3,9;
2006-12-31;2;null;null;null;null;null;
2007-01-31;7;null;973,5;22,9;9,5;3,4;
2007-02-28;13;264,8;973,9;23;8,1;3,1;
2007-03-31;22;547,8;975,3;21,4;9,6;null;
2007-04-30;17;184,6;977,5;19,2;8;2,7;
2007-05-31;13;103,2;980,3;11,8;8,4;2,8;
2007-06-30;9;null;null;null;7,3;null;
2007-07-31;9;null;979;8,8;null;null;
2007-08-31;15;238,8;980,2;10,2;11,7;null;
2007-09-30;15;114,8;979;17,3;9,1;null;
2007-10-31;16;365;975,1;18,1;null;null;
2007-11-30;6;null;974,1;19,4;9;2,8;
2007-12-31;9;114,8;973,3;22,5;8,2;3,4;
2008-01-31;8;175;974,4;23,3;9,6;3,2;
2008-02-29;11;180,6;974,3;23;7,1;2,9;
2008-03-31;6;54,2;975,4;21,6;8,3;3,2;
2008-04-30;9;118,6;975,3;18,4;9,5;2,7;
2008-05-31;13;107,2;979,3;14,1;9,4;3,3;
2008-06-30;15;160,6;980;10,2;10,5;3,2;
2008-07-31;3;null;null;null;10,9;null;
2008-08-31;16;167,2;978,7;12,2;8,9;3,4;
2008-09-30;15;105,6;980,6;12,8;9,3;3,6;
2008-10-31;11;225,4;978,3;17,1;8,1;3,6;
2008-11-30;5;40,4;976,3;21,1;10,5;3,2;
2008-12-31;9;87;974,9;22,1;8,5;3,2;
2009-01-31;9;82,6;975;23,2;8,4;3,7;
2009-02-28;13;283,8;974,5;22,9;7,3;3;
2009-03-31;15;91,8;975,3;21,4;8,2;2,9;
2009-04-30;5;17,4;979,3;18,5;8;2,7;
2009-05-31;10;134,8;978;15,5;8,4;3;
2009-06-30;18;31,2;980,6;9,9;9,6;3,2;
2009-07-31;10;66;980,2;9,3;12,6;3,2;
2009-08-31;14;45,8;978,3;14,5;12,6;4,2;
2009-09-30;20;288,4;978,3;13,4;10;3,8;
2009-10-31;8;114,2;975,6;17;12,8;3,7;
2009-11-30;22;544,8;971,1;20,7;12,4;3,4;
2009-12-31;11;238,4;973,7;21,4;10,8;3,4;
2010-01-31;10;154,8;973,6;23,4;14,8;2,8;
2010-02-28;15;252,6;973,6;23,2;11,2;3,5;
2010-03-31;12;59,8;975,3;21,7;11,1;2,7;
2010-04-30;12;123,8;979,3;17,5;8,1;3;
2010-05-31;21;142,6;979,7;14,3;10;3,3;
2010-06-30;15;36,2;980,7;12,2;8,3;3,1;
2010-07-31;17;298;980,2;10,8;9,5;3,3;
2010-08-31;12;49,4;981,1;11,9;11,1;3,3;
2010-09-30;15;144,6;977,3;14,7;10,9;3,2;
2010-10-31;6;16,6;977,5;16,3;10,5;3;
2010-11-30;4;15,2;974,5;19,6;11;3,6;
2010-12-31;6;57,4;971,7;23,4;12,5;3,4;
2011-01-31;10;87,4;972;24,9;10,6;3,2;
2011-02-28;13;97,2;974,5;22,8;8,5;3,5;
2011-03-31;9;63,2;976,3;21,1;9,2;3,1;
2011-04-30;9;109,6;977;18,6;9,5;2,6;
2011-05-31;17;44,8;980,3;14,2;10,2;3;
2011-06-30;9;null;978,8;11,3;9,4;3;
2011-07-31;15;132,6;979,4;10,9;10,9;3,3;
2011-08-31;11;73,2;978,1;11,8;11,9;3,7;
2011-09-30;10;122;980,3;14,7;9,2;3,3;
2011-10-31;13;161,6;975,6;16,8;10,1;3,1;
2011-11-30;6;61,6;975,6;20,4;7,9;2,8;
2011-12-31;10;55,8;973,9;21,2;8,8;3,2;
2012-01-31;6;21,6;974,1;24,4;10,4;3,1;
2012-02-29;13;225,8;973,4;23,8;10,5;2,9;
2012-03-31;8;63,8;976,5;21,2;6,5;2,4;
2012-04-30;12;147;977,4;17,2;7;2,5;
2012-05-31;13;17,2;979,9;15,5;6,6;2,2;
2012-06-30;11;76;979;11,8;9,3;2,8;
2012-07-31;8;41,6;980,4;9,5;9,6;3,5;
2012-08-31;12;127,2;980,5;16;11;3,2;
2012-09-30;15;154,6;978,7;15,3;10,9;3;
2012-10-31;21;270,8;974,4;18;10,5;3,1;
2012-11-30;7;61;975,2;21,4;9;3;
2012-12-31;16;195,4;971,6;23;12,2;3;
2013-01-31;11;180,4;975,8;21,8;6,8;2,6;
2013-02-28;14;108,8;974,4;21,9;10,7;2,7;
2013-03-31;11;83;976,9;18,9;12,9;2,8;
2013-04-30;10;128,4;978;17,8;7,2;2,3;
2013-05-31;18;197;978;13,7;8,2;2,5;
2013-06-30;17;48,4;979,1;12,3;8,4;2,8;
2013-07-31;5;null;null;null;8,1;null;
2013-08-31;null;null;null;null;7,9;null;
2013-09-30;1;null;null;null;8,1;null;
2013-10-31;11;143,8;977,4;16,9;8,4;2,9;
2013-11-30;12;291,2;974,2;19,8;7,1;2,6;
2013-12-31;2;null;null;22,3;9,2;null;
2014-01-31;null;null;null;null;null;null;
2014-02-28;null;null;null;null;null;null;
2014-03-31;null;null;null;null;null;null;
2014-04-30;null;null;null;null;null;null;
2014-05-31;null;null;null;null;null;null;
2014-06-30;null;null;null;null;null;null;
2014-07-31;null;null;null;null;null;null;
2014-08-31;null;null;null;null;null;null;
2014-09-30;null;null;null;null;null;null;
2014-10-31;null;null;null;null;null;null;
2014-11-30;null;null;null;null;null;null;
2014-12-31;null;null;null;null;null;null;
2015-01-31;null;null;null;null;null;null;
2015-02-28;null;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;
2015-09-30;null;null;null;null;null;null;
2015-10-31;null;null;null;null;null;null;
2015-11-30;null;null;null;null;null;null;
2015-12-31;null;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;null;null;null;null;null;null;
2016-03-31;null;null;null;null;null;null;
2016-04-30;null;null;null;null;null;null;
2016-05-31;null;null;null;null;null;null;
2016-06-30;null;null;null;null;null;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;6;null;994,3;14,1;10,9;2,9;
2016-09-30;8;17,2;996,3;13,4;9,5;3,4;
2016-10-31;10;141;991,7;17,2;9,6;3,1;
2016-11-30;8;101,6;991,3;20,1;14,3;2,9;
2016-12-31;15;163,8;988,3;22,8;10,5;2,8;
2017-01-31;10;null;989,8;22,9;9,7;2,7;
2017-02-28;12;null;null;22;8,4;null;
2017-03-31;3;null;993,1;null;10,4;2,7;
2017-04-30;8;299,4;993,2;17,6;9,6;2,7;
2017-05-31;11;null;null;15,4;13,3;null;
2017-06-30;null;null;null;null;null;null;
2017-07-31;1;null;null;null;8,5;null;
2017-08-31;5;null;null;null;16,2;null;
2017-09-30;5;null;null;null;9,1;null;
2017-10-31;10;206,4;990,3;17,2;11,9;3,6;
2017-11-30;7;54,8;990;19,3;11,8;3,1;
2017-12-31;7;116,4;988,5;23,5;16,6;3;
2018-01-31;14;194,6;988,8;23,6;12;2,8;
2018-02-28;4;17,2;990,6;22,4;12,6;2,6;
2018-03-31;9;123,2;989,9;20,8;10,1;2,5;
2018-04-30;10;148,6;993,7;21,2;9,8;2,4;
2018-05-31;12;236,8;995,2;15,5;12,3;2,4;
2018-06-30;11;48,2;996,7;10,1;8;2,5;
2018-07-31;15;114,6;996,4;11,1;9,9;3,1;
2018-08-31;10;166,2;997,1;11,3;10;3,1;
2018-09-30;15;226,4;992,3;16,8;12,2;3,6;
2018-10-31;9;108,6;992,4;17,4;11,8;3,4;
2018-11-30;9;217,4;990,2;21;12,7;3,2;
2018-12-31;10;201,8;990;21,9;10,8;2,9;
2019-01-31;18;459;989,8;23,4;11,8;2,9;
2019-02-28;7;63,8;990,6;22,4;10,6;2,6;
2019-03-31;8;60,2;993;20,5;9,4;2,7;
2019-04-30;13;185,2;992,5;18,9;9,4;2,4;
2019-05-31;18;165;993,7;15,9;9;2,5;
2019-06-30;10;25;994,4;15,5;10,4;2,3;
2019-07-31;13;178;996,6;11,2;9,4;2,4;
2019-08-31;10;75,8;998,4;12,1;11,3;3;
2019-09-30;7;78;994,6;14,2;11,3;2,8;
2019-10-31;16;346,8;991,7;18,1;11,3;3,4;
2019-11-30;10;139,4;990;21,1;12,1;2,9;
