Nome: RONDONOPOLIS
Codigo Estacao: A907
Latitude: -16.4625
Longitude: -54.58027777
Altitude: 289.88
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2025-08-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;25;272,2;975,2;25,6;9,7;2,1;
2004-02-29;19;258,8;977,5;25,5;6,4;2;
2004-03-31;13;69,6;977,7;26;10;1,8;
2004-04-30;11;88;978,8;25,5;7,1;1,9;
2004-05-31;5;40,6;981,8;22,6;5,7;2,1;
2004-06-30;0;0;983,3;22,5;6,8;2;
2004-07-31;5;38,4;982,2;22,1;6,1;2,3;
2004-08-31;0;0;982,1;24,7;8,3;2,4;
2004-09-30;2;36,2;979,1;27,4;8,1;2,6;
2004-10-31;11;72,8;977,5;27,4;8,3;2,4;
2004-11-30;14;182,6;977;27,1;9,2;2,3;
2004-12-31;20;269,8;976,9;26,9;8,4;2,1;
2005-01-31;22;248,4;975,9;26,7;8,5;2,1;
2005-02-28;7;null;977;27;6,2;2,1;
2005-03-31;17;123;978;26,6;9,7;1,9;
2005-04-30;13;48,6;979,7;25,7;7;2;
2005-05-31;3;null;980,2;25;6,3;2,1;
2005-06-30;5;24,6;981,5;24,1;6,3;2,1;
2005-07-31;null;0;983,5;23,1;6,9;2,5;
2005-08-31;1;,2;980,9;25,6;7,6;2,5;
2005-09-30;8;26,4;980,4;25,4;8,4;2,9;
2005-10-31;9;null;978;27,6;9,7;2,3;
2005-11-30;14;99,4;976,2;26,7;8;2,1;
2005-12-31;24;270;976;25,6;8,8;2,3;
