Data;UF;Cidade;Regiao;CodigoEstacao;Latitude;Longitude;Altitude;ArquivoFonte;Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);Unnamed: 7;Unnamed: 6
20040131.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2004-01-31;27,0;401,2;885,4;21,0;8,5;3,4;;
20040229.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2004-02-29;23,0;;887,6;20,9;11,7;3,2;;
20040331.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2004-03-31;20,0;268,8;887,6;21,3;9,8;2,9;;
20040430.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2004-04-30;18,0;150,4;888,6;21,2;8,7;2,8;;
20040531.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2004-05-31;4,0;26,2;890,0;20,7;9,3;3,2;;
20040630.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2004-06-30;0,0;0,0;892,1;18,8;9,7;3,7;;
20040731.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2004-07-31;1,0;2,0;891,0;18,4;10,6;4,0;;
20040831.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2004-08-31;;;;21,1;8,4;;;
20040930.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2004-09-30;;;;;;;;
20041031.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2004-10-31;12,0;156,8;887,4;;9,5;3,5;;
20041130.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2004-11-30;17,0;116,0;886,9;;9,3;3,5;;
20041231.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2004-12-31;24,0;284,8;887,1;;9,1;3,0;;
20050131.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2005-01-31;24,0;232,2;886,4;;8,7;3,3;;
20050228.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2005-02-28;14,0;515,4;886,7;22,5;9,1;3,1;;
20050331.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2005-03-31;27,0;602,6;887,9;21,7;8,6;2,5;;
20050430.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2005-04-30;12,0;109,6;889,1;22,3;8,4;3,1;;
20050531.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2005-05-31;1,0;15,2;889,7;20,2;11,5;3,7;;
20050630.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2005-06-30;1,0;2,2;891,0;19,4;9,7;4,0;;
20050731.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2005-07-31;0,0;0,0;892,1;19,3;9,5;3,9;;
20050831.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2005-08-31;3,0;45,8;890,8;21,1;9,6;3,8;;
20050930.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2005-09-30;8,0;61,4;889,3;23,3;12,3;3,9;;
20051031.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2005-10-31;4,0;81,6;887,7;24,8;11,7;3,1;;
20051130.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2005-11-30;19,0;99,0;886,4;21,4;8,6;3,3;;
20051231.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2005-12-31;28,0;219,6;886,3;20,9;9,3;3,0;;
20060131.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-01-31;18,0;13,6;887,5;22,2;8,6;3,3;;
20060228.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-02-28;20,0;;887,1;21,8;9,0;2,7;;
20060331.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-03-31;29,0;139,8;887,5;21,3;8,3;2,5;;
20060430.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-04-30;14,0;;887,7;21,3;7,1;2,8;;
20060531.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-05-31;;;;20,1;7,5;;;
20060630.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-06-30;1,0;0,2;891,5;18,9;10,5;4,2;;
20060731.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-07-31;2,0;5,4;891,6;19,5;9,1;3,5;;
20060831.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-08-31;8,0;5,6;890,3;22,0;9,3;3,8;;
20060930.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-09-30;12,0;2,8;889,5;22,2;9,8;3,8;;
20061031.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-10-31;20,0;412,8;887,6;21,3;9,2;2,9;;
20061130.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-11-30;22,0;232,4;886,7;21,5;11,3;3,2;;
20061231.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-12-31;20,0;446,4;887,6;21,4;9,7;3,2;;
20070131.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2007-01-31;28,0;531,0;887,7;21,8;8,7;2,7;;
