MesAno;Regiao;Consumo;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);Estacao;Consumo_clean;MesAno_str;Ano;Mes;lag1;lag12;roll3;Consumo_wins
2005-01;Centro-Oeste;526993,9;239,0;2272,0;952,325;24,9;6,591666666666666;1,7916666666666667;verão;526993,9;2005-01;2005;1;513252,4;506540,4;516132,3;526993,9
2005-02;Centro-Oeste;511087,2;123,0;762,0;954,28;25,30909090909091;5,963636363636363;1,77;verão;511087,2;2005-02;2005;2;526993,9;472102,6;515313,5666666667;511087,2
2005-03;Centro-Oeste;520203,2;172,0;1979,2;956,3;24,816666666666663;6,233333333333333;1,6272727272727272;outono;520203,2;2005-03;2005;3;511087,2;493180,9;517111,1666666667;520203,2
2005-04;Centro-Oeste;531746,5;97,0;464,4;955,6;24,966666666666665;5,88;1,7999999999999998;outono;531746,5;2005-04;2005;4;520203,2;506070,9;519428,10000000003;531746,5
2005-05;Centro-Oeste;505927,3;26,0;51,2;952,311111111111;23,7;6,459999999999999;1,9666666666666663;outono;505927,3;2005-05;2005;5;531746,5;492808,3;521012,3;505927,3
2005-06;Centro-Oeste;517429,1;26,0;100,8;953,6111111111112;22,75555555555556;5,811111111111111;1,9888888888888887;inverno;517429,1;2005-06;2005;6;505927,3;466358,8;519292,3333333333;517429,1
2005-07;Centro-Oeste;501666,5;6,0;19,8;955,4333333333332;22,4;6,366666666666666;2,1888888888888887;inverno;501666,5;2005-07;2005;7;517429,1;470539,0;518367,6333333333;501666,5
2005-08;Centro-Oeste;507765,4;24,0;157,0;954,8333333333334;24,508333333333336;6,716666666666666;2,091666666666667;inverno;507765,4;2005-08;2005;8;501666,5;479191,7;508340,9666666666;507765,4
2005-09;Centro-Oeste;539782,9;74,0;408,0;954,0214285714284;24,37142857142857;7,628571428571428;2,4714285714285715;primavera;539782,9;2005-09;2005;9;507765,4;514970,9;508953,6666666667;539782,9
2005-10;Centro-Oeste;546683,4;110,0;412,8;956,9230769230768;26,684615384615384;8,678571428571429;1,9538461538461536;primavera;546683,4;2005-10;2005;10;539782,9;529450,1;516404,93333333335;546683,4
